Kreis,Fälle,Vorabmeldungen
Landeshauptstadt Dresden,123,
Stadt Chemnitz,55,
Stadt Leipzig,161,
Landkreis Bautzen,85,
Erzgebirgskreis,44,
Landkreis Görlitz,13,+15
Landkreis Leipzig,45,
Landkreis Meißen,26,
Landkreis Mittelsachsen,34,
Landkreis Nordsachsen,13,
Landkreis Sächsische Schweiz-Osterzgebirge,60,
Vogtlandkreis,16,
Landkreis Zwickau,175,
Gesamtzahl der Infektionen,850,865
