Kreis,Fälle
Aachen & Städteregion Aachen,361
Bielefeld,55
Bochum,51
Bonn,92
Borken (Kreis),209
Bottrop,13
Coesfeld (Kreis),113
Dortmund,106
Duisburg,75
Düren (Kreis),107
Düsseldorf,187
Ennepe-Ruhr-Kreis,38
Essen,164
Euskirchen (Kreis),29
Gelsenkirchen,38
Gütersloh (Kreis),157
Hagen,28
Hamm,26
Heinsberg (Kreis),874
Herford (Kreis),72
Herne ,13
Hochsauerlandkreis (Kreis),92
Höxter,12
Kleve (Kreis),89
Köln,521
Krefeld,71
Leverkusen,40
Lippe (Kreis),114
Märkischer Kreis,36
Mettmann (Kreis),86
Minden-Lübbecke (Kreis),125
Mönchengladbach,51
Mülheim / Ruhr,30
Münster,173
Oberbergischer Kreis,57
Oberhausen,34
Olpe (Kreis),17
Paderborn (Kreis),71
Recklinghausen (Kreis),96
Remscheid,19
Rhein-Erft-Kreis,124
Rheinisch-Bergischer Kreis,69
Rhein-Kreis Neuss,85
Rhein-Sieg-Kreis,204
Siegen-Wittgenstein (Kreis),29
Soest (Kreis),49
Solingen,35
Steinfurt (Kreis),150
Unna (Kreis),46
Viersen (Kreis),70
Warendorf (Kreis),138
Wesel (Kreis),132
Wuppertal,61
Gesamt,5.734
