Kreis,Fälle
Aachen & Städteregion Aachen,85
Bielefeld,17
Bochum,18
Bonn,28
Borken (Kreis),27
Bottrop,3
Coesfeld (Kreis),39
Dortmund,14
Duisburg,14
Düren (Kreis),18
Düsseldorf,23
Ennepe-Ruhr-Kreis,3
Essen,34
Euskirchen (Kreis),5
Gelsenkirchen,9
Gütersloh (Kreis),15
Hagen,5
Hamm,4
Heinsberg (Kreis),589
Herford (Kreis),19
Herne ,4
Hochsauerlandkreis (Kreis),20
Höxter,0
Kleve (Kreis),14
Köln,83
Krefeld,10
Leverkusen,5
Lippe (Kreis),37
Märkischer Kreis,13
Mettmann (Kreis),19
Minden-Lübbecke (Kreis),32
Mönchengladbach,23
Mülheim / Ruhr,9
Münster,41
Oberbergischer Kreis,14
Oberhausen,8
Olpe (Kreis),6
Paderborn (Kreis),32
Recklinghausen (Kreis),41
Remscheid,7
Rhein-Erft-Kreis,24
Rheinisch-Bergischer Kreis,29
Rhein-Kreis Neuss,15
Rhein-Sieg-Kreis,32
Siegen-Wittgenstein (Kreis),10
Soest (Kreis),9
Solingen,6
Steinfurt (Kreis),43
Unna (Kreis),13
Viersen (Kreis),16
Warendorf (Kreis),27
Wesel (Kreis),19
Wuppertal,6
Gesamt,1.636
