Kreis,Fälle
Aachen & Städteregion Aachen,140
Bielefeld,17
Bochum,20
Bonn,36
Borken (Kreis),45
Bottrop,3
Coesfeld (Kreis),47
Dortmund,19
Duisburg,14
Düren (Kreis),24
Düsseldorf,36
Ennepe-Ruhr-Kreis,14
Essen,52
Euskirchen (Kreis),6
Gelsenkirchen,12
Gütersloh (Kreis),45
Hagen,5
Hamm,4
Heinsberg (Kreis),650
Herford (Kreis),22
Herne ,5
Hochsauerlandkreis (Kreis),30
Höxter,0
Kleve (Kreis),32
Köln,129
Krefeld,10
Leverkusen,9
Lippe (Kreis),37
Märkischer Kreis,13
Mettmann (Kreis),19
Minden-Lübbecke (Kreis),47
Mönchengladbach,36
Mülheim / Ruhr,9
Münster,56
Oberbergischer Kreis,19
Oberhausen,8
Olpe (Kreis),6
Paderborn (Kreis),36
Recklinghausen (Kreis),47
Remscheid,8
Rhein-Erft-Kreis,36
Rheinisch-Bergischer Kreis,30
Rhein-Kreis Neuss,15
Rhein-Sieg-Kreis,63
Siegen-Wittgenstein (Kreis),10
Soest (Kreis),9
Solingen,7
Steinfurt (Kreis),61
Unna (Kreis),14
Viersen (Kreis),16
Warendorf (Kreis),47
Wesel (Kreis),19
Wuppertal,6
Gesamt,2.100
