Kreis,Fälle
Aachen & Städteregion Aachen,513
Bielefeld,93
Bochum,120
Bonn,151
Borken (Kreis),282
Bottrop,17
Coesfeld (Kreis),152
Dortmund,160
Duisburg,133
Düren (Kreis),142
Düsseldorf,205
Ennepe-Ruhr-Kreis,61
Essen,228
Euskirchen (Kreis),53
Gelsenkirchen,45
Gütersloh (Kreis),219
Hagen,43
Hamm,81
Heinsberg (Kreis),984
Herford (Kreis),97
Herne ,23
Hochsauerlandkreis (Kreis),131
Höxter (Kreis),21
Kleve (Kreis),109
Köln,809
Krefeld,71
Leverkusen,48
Lippe (Kreis),158
Märkischer Kreis,44
Mettmann (Kreis),152
Minden-Lübbecke (Kreis),153
Mönchengladbach,77
Mülheim / Ruhr,36
Münster,266
Oberbergischer Kreis,94
Oberhausen,37
Olpe (Kreis),17
Paderborn (Kreis),89
Recklinghausen (Kreis),149
Remscheid,30
Rhein-Erft-Kreis,180
Rheinisch-Bergischer Kreis,104
Rhein-Kreis Neuss,140
Rhein-Sieg-Kreis,305
Siegen-Wittgenstein (Kreis),39
Soest (Kreis),93
Solingen,38
Steinfurt (Kreis),201
Unna (Kreis),98
Viersen (Kreis),123
Warendorf (Kreis),199
Wesel (Kreis),124
Wuppertal,74
Gesamt,8.011
