Kreis,Fälle
Aichach-Friedberg,18
Altötting,17
Amberg Stadt,2
Amberg-Sulzbach,18
Ansbach,28
Ansbach Stadt,3
Aschaffenburg,40
Aschaffenburg Stadt,22
Augsburg,54
Augsburg Stadt,40
Bad Kissingen,14
Bad Tölz,40
Bamberg,40
Bamberg Stadt,22
Bayreuth,20
Bayreuth Stadt,5
Berchtesgadener Land,8
Cham,47
Coburg,22
Dachau,45
Deggendorf,45
Dillingen a.d. Donau,8
Dingolfing-Landau,30
Donau-Ries,10
Ebersberg,52
Eichstätt,15
Erding,67
Erlangen Stadt,17
Erlangen-Höchstadt,20
Forchheim,19
Freising,174
Freyung-Grafenau,10
Fürstenfeldbruck,51
Fürth,14
Fürth Stadt,17
Garmisch-Partenkirchen,31
Günzburg,25
Haßberge,16
Hof,30
Hof Stadt,10
Ingolstadt Stadt,5
Kaufbeuren Stadt,5
Kelheim,26
Kitzingen,11
Kronach,13
Kulmbach,14
Landsberg am Lech,24
Landshut,68
Landshut Stadt,28
Lichtenfels,7
Lindau (Bodensee),37
Main-Spessart,12
Memmingen Stadt,14
Miesbach,61
Miltenberg,28
Mühldorf a.Inn,20
München,219
München Stadt,591
Neu-Ulm,36
Neuburg-Schrobenhausen,22
Neumarkt i.d.Opf.,18
Neustadt a.d. Aisch-Bad Windsheim,10
Neustadt a.d. Waldnaab,3
Nürnberg Stadt,69
Nürnberger Land,40
Oberallgäu,52
Ostallgäu,26
Passau,25
Passau Stadt,7
Pfaffenhofen a.d.Ilm,19
Regen,24
Regensburg,64
Regensburg Stadt,72
Rhön-Grabfeld,10
Rosenheim,179
Rosenheim Stadt,1
Roth,14
Rottal-Inn,56
Schwabach Stadt,8
Schwandorf,24
Schweinfurt,30
Schweinfurt Stadt,4
Starnberg,83
Straubing Stadt,20
Straubing-Bogen,20
Tirschenreuth,68
Traunstein,40
Unterallgäu,31
Weiden Stadt,7
Weilheim-Schongau,58
Weißenburg-Gunzenhausen,12
Wunsiedel i.Fichtelgebirge,22
Würzburg,108
Würzburg Stadt,64
Summe,3695
