,AGS,Gemeinde,Land,Fallzahl,Stand,bvlkg_2019,cx,cy,RateZT,RateHT,Erstellt_um
1,07111000,Koblenz (kreisfreie Stadt),7,49,2020-03-21,114024, 7.570212,50.36019,4.3,43,2020-03-21 23:00:05
2,07131000,Ahrweiler,7,37,2020-03-21,129727, 7.070170,50.49524,2.9,28.5,2020-03-21 23:00:05
3,07132000,Altenkirchen (Westerwald),7,14,2020-03-21,128705, 7.839916,50.79483,1.1,10.9,2020-03-21 23:00:05
4,07133000,Bad Kreuznach,7,37,2020-03-21,158080, 7.657812,49.81823,2.3,23.4,2020-03-21 23:00:05
5,07134000,Birkenfeld,7,5,2020-03-21, 80720, 7.281271,49.71580,0.6,6.2,2020-03-21 23:00:05
6,07135000,Cochem-Zell,7,40,2020-03-21, 61587, 7.178459,50.14493,6.5,64.9,2020-03-21 23:00:05
7,07137000,Mayen-Koblenz,7,120,2020-03-21,214259, 7.366505,50.33866,5.6,56,2020-03-21 23:00:05
8,07138000,Neuwied,7,59,2020-03-21,181941, 7.403585,50.53519,3.2,32.4,2020-03-21 23:00:05
9,07140000,Rhein-Hunsrück-Kreis,7,45,2020-03-21,102937, 7.500203,50.04624,4.4,43.7,2020-03-21 23:00:05
10,07141000,Rhein-Lahn-Kreis,7,33,2020-03-21,122308, 7.793642,50.24340,2.7,27,2020-03-21 23:00:05
11,07143000,Westerwaldkreis,7,62,2020-03-21,201597, 7.846595,50.54133,3.1,30.8,2020-03-21 23:00:05
12,07211000,Trier (kreisfreie Stadt),7,11,2020-03-21,110636, 6.653437,49.74820,1,9.9,2020-03-21 23:00:05
13,07231000,Bernkastel-Wittlich,7,18,2020-03-21,112262, 7.015531,49.93051,1.6,16,2020-03-21 23:00:05
14,07232000,Eifelkreis Bitburg-Prüm,7,39,2020-03-21, 98561, 6.385168,50.06023,4,39.6,2020-03-21 23:00:05
15,07233000,Vulkaneifel,7,28,2020-03-21, 60603, 6.743509,50.22864,4.6,46.2,2020-03-21 23:00:05
16,07235000,Trier-Saarburg,7,19,2020-03-21,148945, 6.832128,49.69098,1.3,12.8,2020-03-21 23:00:05
17,07311000,Frankenthal (Pfalz) (kreisfreie Stadt),7,11,2020-03-21, 48561, 8.347923,49.52536,2.3,22.7,2020-03-21 23:00:05
18,07312000,Kaiserslautern (kreisfreie Stadt),7,14,2020-03-21, 99845, 7.752686,49.43566,1.4,14,2020-03-21 23:00:05
19,07313000,Landau in der Pfalz (kreisfreie Stadt),7,5,2020-03-21, 46677, 8.111519,49.20292,1.1,10.7,2020-03-21 23:00:05
20,07314000,Ludwigshafen am Rhein (kreisfreie Stadt),7,17,2020-03-21,171061, 8.404125,49.47859,1,9.9,2020-03-21 23:00:05
21,07315000,Mainz (kreisfreie Stadt),7,62,2020-03-21,217118, 8.234434,49.98863,2.9,28.6,2020-03-21 23:00:05
22,07316000,Neustadt an der Weinstraße (kreisfreie Stadt),7,10,2020-03-21, 53148, 8.154843,49.35283,1.9,18.8,2020-03-21 23:00:05
23,07317000,Pirmasens (kreisfreie Stadt),7,1,2020-03-21, 40403, 7.579978,49.20290,0.2,2.5,2020-03-21 23:00:05
24,07318000,Speyer (kreisfreie Stadt),7,7,2020-03-21, 50378, 8.429306,49.33034,1.4,13.9,2020-03-21 23:00:05
25,07319000,Worms (kreisfreie Stadt),7,4,2020-03-21, 83330, 8.322668,49.64386,0.5,4.8,2020-03-21 23:00:05
26,07320000,Zweibrücken (kreisfreie Stadt),7,1,2020-03-21, 34209, 7.373513,49.24646,0.3,2.9,2020-03-21 23:00:05
27,07331000,Alzey-Worms,7,69,2020-03-21,129244, 8.109496,49.78882,5.3,53.4,2020-03-21 23:00:05
28,07332000,Bad Dürkheim,7,72,2020-03-21,132660, 8.155013,49.48546,5.4,54.3,2020-03-21 23:00:05
29,07333000,Donnersbergkreis,7,17,2020-03-21, 75101, 7.864106,49.64187,2.3,22.6,2020-03-21 23:00:05
30,07334000,Germersheim,7,25,2020-03-21,129075, 8.169007,49.05307,1.9,19.4,2020-03-21 23:00:05
31,07335000,Kaiserslautern,7,14,2020-03-21,106057, 7.553514,49.44714,1.3,13.2,2020-03-21 23:00:05
32,07336000,Kusel,7,19,2020-03-21, 70526, 7.551707,49.60446,2.7,26.9,2020-03-21 23:00:05
33,07337000,Südliche Weinstraße,7,31,2020-03-21,110356, 7.990985,49.09917,2.8,28.1,2020-03-21 23:00:05
34,07338000,Rhein-Pfalz-Kreis,7,9,2020-03-21,154201, 8.346728,49.39712,0.6,5.8,2020-03-21 23:00:05
35,07339000,Mainz-Bingen,7,47,2020-03-21,210889, 8.073560,49.94680,2.2,22.3,2020-03-21 23:00:05
36,07340000,Südwestpfalz,7,11,2020-03-21, 95113, 7.749804,49.15439,1.2,11.6,2020-03-21 23:00:05
37,08111000,Stuttgart (Stadtkreis),8,308,2020-03-21,634830, 9.172051,48.77677,4.9,48.5,2020-03-21 23:00:05
38,08115000,Böblingen,8,67,2020-03-21,391640, 8.963852,48.68104,1.7,17.1,2020-03-21 23:00:05
39,08116000,Esslingen,8,323,2020-03-21,533859, 9.386777,48.65992,6.1,60.5,2020-03-21 23:00:05
40,08117000,Göppingen,8,97,2020-03-21,257253, 9.692335,48.65604,3.8,37.7,2020-03-21 23:00:05
41,08118000,Ludwigsburg,8,175,2020-03-21,543984, 9.097359,48.94152,3.2,32.2,2020-03-21 23:00:05
42,08119000,Rems-Murr-Kreis,8,117,2020-03-21,426158, 9.504931,48.90458,2.7,27.5,2020-03-21 23:00:05
43,08121000,Heilbronn (Stadtkreis),8,20,2020-03-21,125960, 9.195245,49.14809,1.6,15.9,2020-03-21 23:00:05
44,08125000,Heilbronn,8,140,2020-03-21,343068, 9.333205,49.26194,4.1,40.8,2020-03-21 23:00:05
45,08126000,Hohenlohekreis,8,222,2020-03-21,112010, 9.635750,49.28361,19.8,198.2,2020-03-21 23:00:05
46,08127000,Schwäbisch Hall,8,98,2020-03-21,195861, 9.915306,49.16723,5,50,2020-03-21 23:00:05
47,08128000,Main-Tauber-Kreis,8,36,2020-03-21,132321, 9.682629,49.56470,2.7,27.2,2020-03-21 23:00:05
48,08135000,Heidenheim,8,47,2020-03-21,132472,10.134395,48.66243,3.5,35.5,2020-03-21 23:00:05
49,08136000,Ostalbkreis,8,91,2020-03-21,314002,10.119083,48.90489,2.9,29,2020-03-21 23:00:05
50,08211000,Baden-Baden (Stadtkreis),8,21,2020-03-21, 55123, 8.248205,48.75315,3.8,38.1,2020-03-21 23:00:05
51,08212000,Karlsruhe (Stadtkreis),8,42,2020-03-21,313092, 8.413012,49.01390,1.3,13.4,2020-03-21 23:00:05
52,08215000,Karlsruhe,8,96,2020-03-21,444232, 8.610629,49.11568,2.2,21.6,2020-03-21 23:00:05
53,08216000,Rastatt,8,81,2020-03-21,231018, 8.221457,48.89480,3.5,35.1,2020-03-21 23:00:05
54,08221000,Heidelberg (Stadtkreis),8,5,2020-03-21,160355, 8.692423,49.40106,0.3,3.1,2020-03-21 23:00:05
55,08222000,Mannheim (Stadtkreis),8,80,2020-03-21,309370, 8.501899,49.50020,2.6,25.9,2020-03-21 23:00:05
56,08225000,Neckar-Odenwald-Kreis,8,26,2020-03-21,143535, 9.363464,49.51196,1.8,18.1,2020-03-21 23:00:05
57,08226000,Rhein-Neckar-Kreis,8,240,2020-03-21,547625, 8.814673,49.29937,4.4,43.8,2020-03-21 23:00:05
58,08231000,Pforzheim (Stadtkreis),8,16,2020-03-21,125542, 8.711060,48.87875,1.3,12.7,2020-03-21 23:00:05
59,08235000,Calw,8,108,2020-03-21,158397, 8.639680,48.68342,6.8,68.2,2020-03-21 23:00:05
60,08236000,Enzkreis,8,33,2020-03-21,198905, 8.833841,48.96128,1.7,16.6,2020-03-21 23:00:05
61,08237000,Freudenstadt,8,14,2020-03-21,117935, 8.439107,48.49429,1.2,11.9,2020-03-21 23:00:05
62,08311000,Freiburg im Breisgau (Stadtkreis),8,150,2020-03-21,230241, 7.820164,48.00848,6.5,65.1,2020-03-21 23:00:05
63,08315000,Breisgau-Hochschwarzwald,8,134,2020-03-21,262795, 8.038523,47.95562,5.1,51,2020-03-21 23:00:05
64,08316000,Emmendingen,8,110,2020-03-21,165383, 7.867537,48.14070,6.7,66.5,2020-03-21 23:00:05
65,08317000,Ortenaukreis,8,71,2020-03-21,429479, 8.011236,48.44228,1.7,16.5,2020-03-21 23:00:05
66,08325000,Rottweil,8,8,2020-03-21,139455, 8.548633,48.24676,0.6,5.7,2020-03-21 23:00:05
67,08326000,Schwarzwald-Baar-Kreis,8,48,2020-03-21,212381, 8.452924,48.02816,2.3,22.6,2020-03-21 23:00:05
68,08327000,Tuttlingen,8,13,2020-03-21,140152, 8.790147,48.03779,0.9,9.3,2020-03-21 23:00:05
69,08335000,Konstanz,8,52,2020-03-21,285325, 8.912328,47.81630,1.8,18.2,2020-03-21 23:00:05
70,08336000,Lörrach,8,57,2020-03-21,228639, 7.770051,47.68297,2.5,24.9,2020-03-21 23:00:05
71,08337000,Waldshut,8,13,2020-03-21,170619, 8.098528,47.68449,0.8,7.6,2020-03-21 23:00:05
72,08415000,Reutlingen,8,95,2020-03-21,286748, 9.391600,48.38801,3.3,33.1,2020-03-21 23:00:05
73,08416000,Tübingen,8,112,2020-03-21,227331, 8.990978,48.48467,4.9,49.3,2020-03-21 23:00:05
