Kreis,Fälle
LK Ammerland,8
LK Aurich,9
LK Celle,12
LK Cloppenburg,2
LK Cuxhaven,5
LK Diepholz,23
LK Emsland,19
LK Friesland,2
LK Gifhorn,7
LK Goslar,7
LK Göttingen,8
LK Grafschaft Bentheim,5
LK Hameln-Pyrmont,7
LK Harburg,11
LK Heidekreis,1
LK Helmstedt,2
LK Hildesheim,28
LK Holzminden,4
LK Leer,3
LK Lüneburg,3
LK Nienburg (Weser),5
LK Northeim,4
LK Oldenburg,4
LK Osnabrück,2
LK Osterholz,13
LK Peine,2
LK Rotenburg (Wümme),12
LK Schaumburg,3
LK Stade,22
LK Uelzen,1
LK Vechta,6
LK Verden,12
LK Wittmund,3
Region Hannover,96
Braunschweig,8
Delmenhorst,5
Emden,3
Oldenburg,15
Osnabrück,1
Salzgitter,2
Wilhelmshaven,3
