Bundesland,Bestätigt,Gemeldet,Schwerpunkt
Baden-Württemberg,1105,1062,
Bayern,1067,965,
Berlin,300,300,
Brandenburg,94,65,
Bremen,56,56,
Hamburg,260,255,
Hessen,342,241,
Mecklenburg-Vorpommern,51,36,
Niedersachsen,391,272,
Nordrhein-Westfalen,1541,1541,Landkreis Heinsberg
Rheinland-Pfalz,325,325,
Saarland,85,32,
Sachsen,140,103,
Sachsen-Anhalt,77,40,
Schleswig-Holstein,123,104,
Thüringen,55,36,
Gesamt,6012,5433,

