,AGS,Gemeinde,Land,Fallzahl,Stand,bvlkg_2019,cx,cy,RateZT,RateHT,Erstellt_um
1,07111000,Koblenz (kreisfreie Stadt),7,61,2020-03-23,114024, 7.570212,50.36019,5.3,53.5,2020-03-23 19:30:07
2,07131000,Ahrweiler,7,41,2020-03-23,129727, 7.070170,50.49524,3.2,31.6,2020-03-23 19:30:07
3,07132000,Altenkirchen (Westerwald),7,17,2020-03-23,128705, 7.839916,50.79483,1.3,13.2,2020-03-23 19:30:07
4,07133000,Bad Kreuznach,7,37,2020-03-23,158080, 7.657812,49.81823,2.3,23.4,2020-03-23 19:30:07
5,07134000,Birkenfeld,7,10,2020-03-23, 80720, 7.281271,49.71580,1.2,12.4,2020-03-23 19:30:07
6,07135000,Cochem-Zell,7,40,2020-03-23, 61587, 7.178459,50.14493,6.5,64.9,2020-03-23 19:30:07
7,07137000,Mayen-Koblenz,7,151,2020-03-23,214259, 7.366505,50.33866,7,70.5,2020-03-23 19:30:07
8,07138000,Neuwied,7,75,2020-03-23,181941, 7.403585,50.53519,4.1,41.2,2020-03-23 19:30:07
9,07140000,Rhein-Hunsrück-Kreis,7,48,2020-03-23,102937, 7.500203,50.04624,4.7,46.6,2020-03-23 19:30:07
10,07141000,Rhein-Lahn-Kreis,7,37,2020-03-23,122308, 7.793642,50.24340,3,30.3,2020-03-23 19:30:07
11,07143000,Westerwaldkreis,7,78,2020-03-23,201597, 7.846595,50.54133,3.9,38.7,2020-03-23 19:30:07
12,07211000,Trier (kreisfreie Stadt),7,11,2020-03-23,110636, 6.653437,49.74820,1,9.9,2020-03-23 19:30:07
13,07231000,Bernkastel-Wittlich,7,22,2020-03-23,112262, 7.015531,49.93051,2,19.6,2020-03-23 19:30:07
14,07232000,Eifelkreis Bitburg-Prüm,7,46,2020-03-23, 98561, 6.385168,50.06023,4.7,46.7,2020-03-23 19:30:07
15,07233000,Vulkaneifel,7,29,2020-03-23, 60603, 6.743509,50.22864,4.8,47.9,2020-03-23 19:30:07
16,07235000,Trier-Saarburg,7,19,2020-03-23,148945, 6.832128,49.69098,1.3,12.8,2020-03-23 19:30:07
17,07311000,Frankenthal (Pfalz) (kreisfreie Stadt),7,11,2020-03-23, 48561, 8.347923,49.52536,2.3,22.7,2020-03-23 19:30:07
