,AGS,Gemeinde,Land,Fallzahl,Stand,bvlkg_2019,cx,cy,RateZT,RateHT,Erstellt_um
18,07312000,Kaiserslautern (kreisfreie Stadt),7,21,2020-03-23, 99845, 7.752686,49.43566,2.1,21,2020-03-23 19:30:07
19,07313000,Landau in der Pfalz (kreisfreie Stadt),7,7,2020-03-23, 46677, 8.111519,49.20292,1.5,15,2020-03-23 19:30:07
20,07314000,Ludwigshafen am Rhein (kreisfreie Stadt),7,17,2020-03-23,171061, 8.404125,49.47859,1,9.9,2020-03-23 19:30:07
21,07315000,Mainz (kreisfreie Stadt),7,82,2020-03-23,217118, 8.234434,49.98863,3.8,37.8,2020-03-23 19:30:07
22,07316000,Neustadt an der Weinstraße (kreisfreie Stadt),7,11,2020-03-23, 53148, 8.154843,49.35283,2.1,20.7,2020-03-23 19:30:07
23,07317000,Pirmasens (kreisfreie Stadt),7,6,2020-03-23, 40403, 7.579978,49.20290,1.5,14.9,2020-03-23 19:30:07
24,07318000,Speyer (kreisfreie Stadt),7,7,2020-03-23, 50378, 8.429306,49.33034,1.4,13.9,2020-03-23 19:30:07
25,07319000,Worms (kreisfreie Stadt),7,12,2020-03-23, 83330, 8.322668,49.64386,1.4,14.4,2020-03-23 19:30:07
26,07320000,Zweibrücken (kreisfreie Stadt),7,3,2020-03-23, 34209, 7.373513,49.24646,0.9,8.8,2020-03-23 19:30:07
27,07331000,Alzey-Worms,7,78,2020-03-23,129244, 8.109496,49.78882,6,60.4,2020-03-23 19:30:07
28,07332000,Bad Dürkheim,7,94,2020-03-23,132660, 8.155013,49.48546,7.1,70.9,2020-03-23 19:30:07
29,07333000,Donnersbergkreis,7,29,2020-03-23, 75101, 7.864106,49.64187,3.9,38.6,2020-03-23 19:30:07
30,07334000,Germersheim,7,25,2020-03-23,129075, 8.169007,49.05307,1.9,19.4,2020-03-23 19:30:07
31,07335000,Kaiserslautern,7,23,2020-03-23,106057, 7.553514,49.44714,2.2,21.7,2020-03-23 19:30:07
32,07336000,Kusel,7,23,2020-03-23, 70526, 7.551707,49.60446,3.3,32.6,2020-03-23 19:30:07
33,07337000,Südliche Weinstraße,7,32,2020-03-23,110356, 7.990985,49.09917,2.9,29,2020-03-23 19:30:07
34,07338000,Rhein-Pfalz-Kreis,7,9,2020-03-23,154201, 8.346728,49.39712,0.6,5.8,2020-03-23 19:30:07
35,07339000,Mainz-Bingen,7,57,2020-03-23,210889, 8.073560,49.94680,2.7,27,2020-03-23 19:30:07
36,07340000,Südwestpfalz,7,16,2020-03-23, 95113, 7.749804,49.15439,1.7,16.8,2020-03-23 19:30:07
37,08111000,Stuttgart (Stadtkreis),8,441,2020-03-23,634830, 9.172051,48.77677,6.9,69.5,2020-03-23 19:30:07
38,08115000,Böblingen,8,187,2020-03-23,391640, 8.963852,48.68104,4.8,47.7,2020-03-23 19:30:07
39,08116000,Esslingen,8,435,2020-03-23,533859, 9.386777,48.65992,8.1,81.5,2020-03-23 19:30:07
40,08117000,Göppingen,8,166,2020-03-23,257253, 9.692335,48.65604,6.5,64.5,2020-03-23 19:30:07
41,08118000,Ludwigsburg,8,250,2020-03-23,543984, 9.097359,48.94152,4.6,46,2020-03-23 19:30:07
42,08119000,Rems-Murr-Kreis,8,117,2020-03-23,426158, 9.504931,48.90458,2.7,27.5,2020-03-23 19:30:07
43,08121000,Heilbronn (Stadtkreis),8,55,2020-03-23,125960, 9.195245,49.14809,4.4,43.7,2020-03-23 19:30:07
44,08125000,Heilbronn,8,197,2020-03-23,343068, 9.333205,49.26194,5.7,57.4,2020-03-23 19:30:07
45,08126000,Hohenlohekreis,8,257,2020-03-23,112010, 9.635750,49.28361,22.9,229.4,2020-03-23 19:30:07
46,08127000,Schwäbisch Hall,8,145,2020-03-23,195861, 9.915306,49.16723,7.4,74,2020-03-23 19:30:07
47,08128000,Main-Tauber-Kreis,8,53,2020-03-23,132321, 9.682629,49.56470,4,40.1,2020-03-23 19:30:07
48,08135000,Heidenheim,8,60,2020-03-23,132472,10.134395,48.66243,4.5,45.3,2020-03-23 19:30:07
49,08136000,Ostalbkreis,8,121,2020-03-23,314002,10.119083,48.90489,3.9,38.5,2020-03-23 19:30:07
50,08211000,Baden-Baden (Stadtkreis),8,33,2020-03-23, 55123, 8.248205,48.75315,6,59.9,2020-03-23 19:30:07
51,08212000,Karlsruhe (Stadtkreis),8,60,2020-03-23,313092, 8.413012,49.01390,1.9,19.2,2020-03-23 19:30:07
52,08215000,Karlsruhe,8,154,2020-03-23,444232, 8.610629,49.11568,3.5,34.7,2020-03-23 19:30:07
53,08216000,Rastatt,8,146,2020-03-23,231018, 8.221457,48.89480,6.3,63.2,2020-03-23 19:30:07
54,08221000,Heidelberg (Stadtkreis),8,89,2020-03-23,160355, 8.692423,49.40106,5.6,55.5,2020-03-23 19:30:07
55,08222000,Mannheim (Stadtkreis),8,80,2020-03-23,309370, 8.501899,49.50020,2.6,25.9,2020-03-23 19:30:07
56,08225000,Neckar-Odenwald-Kreis,8,35,2020-03-23,143535, 9.363464,49.51196,2.4,24.4,2020-03-23 19:30:07
57,08226000,Rhein-Neckar-Kreis,8,276,2020-03-23,547625, 8.814673,49.29937,5,50.4,2020-03-23 19:30:07
58,08231000,Pforzheim (Stadtkreis),8,18,2020-03-23,125542, 8.711060,48.87875,1.4,14.3,2020-03-23 19:30:07
59,08235000,Calw,8,150,2020-03-23,158397, 8.639680,48.68342,9.5,94.7,2020-03-23 19:30:07
60,08236000,Enzkreis,8,37,2020-03-23,198905, 8.833841,48.96128,1.9,18.6,2020-03-23 19:30:07
61,08237000,Freudenstadt,8,39,2020-03-23,117935, 8.439107,48.49429,3.3,33.1,2020-03-23 19:30:07
62,08311000,Freiburg im Breisgau (Stadtkreis),8,212,2020-03-23,230241, 7.820164,48.00848,9.2,92.1,2020-03-23 19:30:07
63,08315000,Breisgau-Hochschwarzwald,8,178,2020-03-23,262795, 8.038523,47.95562,6.8,67.7,2020-03-23 19:30:07
64,08316000,Emmendingen,8,123,2020-03-23,165383, 7.867537,48.14070,7.4,74.4,2020-03-23 19:30:07
65,08317000,Ortenaukreis,8,104,2020-03-23,429479, 8.011236,48.44228,2.4,24.2,2020-03-23 19:30:07
66,08325000,Rottweil,8,8,2020-03-23,139455, 8.548633,48.24676,0.6,5.7,2020-03-23 19:30:07
67,08326000,Schwarzwald-Baar-Kreis,8,78,2020-03-23,212381, 8.452924,48.02816,3.7,36.7,2020-03-23 19:30:07
68,08327000,Tuttlingen,8,15,2020-03-23,140152, 8.790147,48.03779,1.1,10.7,2020-03-23 19:30:07
69,08335000,Konstanz,8,70,2020-03-23,285325, 8.912328,47.81630,2.5,24.5,2020-03-23 19:30:07
70,08336000,Lörrach,8,57,2020-03-23,228639, 7.770051,47.68297,2.5,24.9,2020-03-23 19:30:07
71,08337000,Waldshut,8,25,2020-03-23,170619, 8.098528,47.68449,1.5,14.7,2020-03-23 19:30:07
72,08415000,Reutlingen,8,113,2020-03-23,286748, 9.391600,48.38801,3.9,39.4,2020-03-23 19:30:07
73,08416000,Tübingen,8,144,2020-03-23,227331, 8.990978,48.48467,6.3,63.3,2020-03-23 19:30:07
74,08417000,Zollernalbkreis,8,109,2020-03-23,188935, 8.932076,48.26350,5.8,57.7,2020-03-23 19:30:07
75,08421000,Ulm (Stadtkreis),8,53,2020-03-23,126329, 9.935082,48.37496,4.2,42,2020-03-23 19:30:07
76,08425000,Alb-Donau-Kreis,8,60,2020-03-23,196047, 9.728089,48.34099,3.1,30.6,2020-03-23 19:30:07
77,08426000,Biberach,8,74,2020-03-23,199742, 9.854360,48.11076,3.7,37,2020-03-23 19:30:07
78,08435000,Bodenseekreis,8,83,2020-03-23,216227, 9.315784,47.76876,3.8,38.4,2020-03-23 19:30:07
79,08436000,Ravensburg,8,127,2020-03-23,284285, 9.734416,47.82249,4.5,44.7,2020-03-23 19:30:07
80,08437000,Sigmaringen,8,99,2020-03-23,130873, 9.235901,48.01759,7.6,75.6,2020-03-23 19:30:07
81,-,Summe,-,1285,-,4084844,-,-,-,-,-
82,-,Summe,-,5333,-,11069533,-,-,-,-,-
