Kreis,Fälle
LK Ammerland,7
LK Aurich,5
LK Celle,8
LK Cloppenburg,1
LK Cuxhaven,5
LK Diepholz,19
LK Emsland,9
LK Friesland,2
LK Gifhorn,7
LK Goslar,5
LK Göttingen,3
LK Grafschaft Bentheim,3
LK Hameln-Pyrmont,3
LK Harburg,11
LK Heidekreis,1
LK Helmstedt,2
LK Hildesheim,10
LK Holzminden,1
LK Leer,1
LK Lüneburg,1
LK Nienburg (Weser),2
LK Northeim,4
LK Oldenburg,4
LK Osnabrück,2
LK Osterholz,12
LK Rotenburg (Wümme),5
LK Schaumburg,2
LK Stade,17
LK Uelzen,1
LK Vechta,3
LK Verden,8
LK Wittmund,1
Region Hannover,59
Braunschweig,2
Delmenhorst,5
Emden,3
Oldenburg,11
Osnabrück,1
Salzgitter,2
Wilhelmshaven,2
