Kreis,Fälle
Aachen & Städteregion Aachen,436
Bielefeld,66
Bochum,77
Bonn,119
Borken (Kreis),252
Bottrop,16
Coesfeld (Kreis),129
Dortmund,140
Duisburg,89
Düren (Kreis),118
Düsseldorf,189
Ennepe-Ruhr-Kreis,45
Essen,164
Euskirchen (Kreis),45
Gelsenkirchen,41
Gütersloh (Kreis),179
Hagen,31
Hamm,54
Heinsberg (Kreis),916
Herford (Kreis),85
Herne ,16
Hochsauerlandkreis (Kreis),109
Höxter,16
Kleve (Kreis),109
Köln,629
Krefeld,71
Leverkusen,45
Lippe (Kreis),133
Märkischer Kreis,38
Mettmann (Kreis),113
Minden-Lübbecke (Kreis),140
Mönchengladbach,77
Mülheim / Ruhr,36
Münster,219
Oberbergischer Kreis,71
Oberhausen,35
Olpe (Kreis),17
Paderborn (Kreis),75
Recklinghausen (Kreis),127
Remscheid,21
Rhein-Erft-Kreis,154
Rheinisch-Bergischer Kreis,81
Rhein-Kreis Neuss,96
Rhein-Sieg-Kreis,248
Siegen-Wittgenstein (Kreis),29
Soest (Kreis),57
Solingen,38
Steinfurt (Kreis),188
Unna (Kreis),60
Viersen (Kreis),123
Warendorf (Kreis),186
Wesel (Kreis),124
Wuppertal,74
Gesamt,6.740
