Kreis,Fälle
Aichach-Friedberg,10
Amberg Stadt,1
Amberg-Sulzbach,7
Aschaffenburg,3
Aschaffenburg Stadt,6
Augsburg,25
Augsburg Stadt,9
Bad Kissingen,3
Bad Tölz,10
Bamberg,9
Bamberg Stadt,2
Bayreuth,5
Cham,21
Coburg,4
Dachau,14
Deggendorf,5
Dingolfing-Landau,13
Donau-Ries,3
Ebersberg,27
Eichstätt,2
Erding,17
Erlangen Stadt,6
Erlangen-Höchstadt,10
Forchheim,4
Freising,74
Fürstenfeldbruck,22
Fürth,3
Fürth Stadt,9
Haßberge,6
Hof,4
Hof Stadt,3
Ingolstadt Stadt,1
Kaufbeuren Stadt,1
Kelheim,4
Kitzingen,4
Kronach,2
Kulmbach,1
Landsberg am Lech,5
Landshut,8
Landshut Stadt,4
Lichtenfels,1
Lindau (Bodensee),19
Main-Spessart,5
Memmingen Stadt,1
Miesbach,15
Miltenberg,4
München,66
München Stadt,187
Neu-Ulm,10
Neumarkt i.d.Opf.,5
Neustadt a.d. Aisch-Bad Windsheim,4
Neustadt a.d. Waldnaab,1
Nürnberg Stadt,24
Nürnberger Land,6
Oberallgäu,27
Ostallgäu,10
Passau,15
Passau Stadt,3
Pfaffenhofen a.d.Ilm,10
Regen,15
Regensburg,8
Regensburg Stadt,6
Rosenheim,27
Rosenheim Stadt,1
Roth,5
Rottal-Inn,14
Schwabach Stadt,2
Schwandorf,12
Schweinfurt,5
Starnberg,44
Straubing Stadt,6
Straubing-Bogen,3
Tirschenreuth,17
Traunstein,13
Unterallgäu,16
Weiden Stadt,6
Weilheim-Schongau,17
Weißenburg-Gunzenhausen,2
Wunsiedel i.Fichtelgebirge,2
Würzburg,36
Würzburg Stadt,30
Summe,1067
