Kreis,Fälle
Aichach-Friedberg,15
Altötting,1
Amberg Stadt,2
Amberg-Sulzbach,15
Ansbach,4
Aschaffenburg,22
Aschaffenburg Stadt,19
Augsburg,41
Augsburg Stadt,22
Bad Kissingen,7
Bad Tölz,11
Bamberg,10
Bamberg Stadt,7
Bayreuth,7
Berchtesgadener Land,10
Cham,29
Coburg,8
Dachau,15
Deggendorf,22
Dingolfing-Landau,17
Donau-Ries,9
Ebersberg,34
Eichstätt,3
Erding,25
Erlangen Stadt,9
Erlangen-Höchstadt,10
Forchheim,8
Freising,105
Freyung-Grafenau,8
Fürstenfeldbruck,23
Fürth,3
Fürth Stadt,10
Garmisch-Partenkirchen,8
Haßberge,8
Hof,6
Hof Stadt,5
Ingolstadt Stadt,2
Kaufbeuren Stadt,4
Kelheim,6
Kitzingen,6
Kronach,4
Kulmbach,8
Landsberg am Lech,14
Landshut,19
Landshut Stadt,7
Lichtenfels,5
Lindau (Bodensee),21
Main-Spessart,8
Memmingen Stadt,3
Miesbach,32
Miltenberg,9
Mühldorf a.Inn,5
München,115
München Stadt,321
Neu-Ulm,17
Neumarkt i.d.Opf.,17
Neustadt a.d. Aisch-Bad Windsheim,4
Neustadt a.d. Waldnaab,2
Nürnberg Stadt,33
Nürnberger Land,11
Oberallgäu,35
Ostallgäu,16
Passau,19
Passau Stadt,4
Pfaffenhofen a.d.Ilm,15
Regen,18
Regensburg,27
Regensburg Stadt,26
Rhön-Grabfeld,3
Rosenheim,40
Rosenheim Stadt,1
Roth,7
Rottal-Inn,29
Schwabach Stadt,6
Schwandorf,17
Schweinfurt,13
Schweinfurt Stadt,2
Starnberg,49
Straubing Stadt,8
Straubing-Bogen,9
Tirschenreuth,38
Traunstein,19
Unterallgäu,18
Weiden Stadt,7
Weilheim-Schongau,27
Weißenburg-Gunzenhausen,2
Wunsiedel i.Fichtelgebirge,11
Würzburg,60
Würzburg Stadt,41
Summe,1798
