Kreis,Fälle
Amberg-Sulzbach,7
Amberg Stadt,1
Aschaffenburg,3
Aschaffenburg Stadt,6
Augsburg,25
Augsburg Stadt,6
Bad Kissingen,3
Bad Tölz,6
Bamberg,4
Bayreuth,5
Cham,20
Coburg,3
Deggendorf,1
Dingolfing-Landau,8
Donau-Ries,3
Ebersberg,21
Eichstätt,2
Erding,11
Erlangen Stadt,5
Erlangen-Höchstadt,9
Forchheim,4
Freising,51
Fürstenfeldbruck,15
Fürth,3
Fürth Stadt,7
Haßberge,5
Hof,1
Hof Stadt,1
Ingolstadt Stadt,1
Kaufbeuren Stadt,1
Kelheim,1
Kitzingen,3
Kronach,1
Landsberg am Lech,3
Landshut,2
Landshut Stadt,1
Lindau (Bodensee),12
Main-Spessart,5
Memmingen Stadt,1
Miesbach,1
Miltenberg,2
München,32
München Stadt,146
Neu-Ulm,8
Neumarkt i.d.Opf.,5
Neustadt a.d. Aisch-Bad Windsheim,4
Neustadt a.d. Waldnaab,1
Nürnberg Stadt,21
Nürnberger Land,2
Oberallgäu,8
Ostallgäu,10
Passau,5
Passau Stadt,1
Pfaffenhofen a.d.Ilm,7
Regen,6
Regensburg,7
Regensburg Stadt,3
Rosenheim,17
Rosenheim Stadt,1
Roth,3
Rottal-Inn,10
Schwabach Stadt,1
Schwandorf,7
Schweinfurt,4
Starnberg,34
Straubing Stadt,3
Straubing-Bogen,2
Tirschenreuth,9
Traunstein,8
Weiden Stadt,4
Weilheim-Schongau,8
Weißenburg-Gunzenhausen,2
Würzburg,16
Würzburg Stadt,16
