Kreis,Fälle
Aachen & Städteregion Aachen,298
Bielefeld,49
Bochum,33
Bonn,76
Borken (Kreis),164
Bottrop,10
Coesfeld (Kreis),85
Dortmund,76
Duisburg,55
Düren (Kreis),80
Düsseldorf,154
Ennepe-Ruhr-Kreis,32
Essen,154
Euskirchen (Kreis),19
Gelsenkirchen,35
Gütersloh (Kreis),100
Hagen,11
Hamm,16
Heinsberg (Kreis),840
Herford (Kreis),52
Herne ,13
Hochsauerlandkreis (Kreis),80
Höxter,7
Kleve (Kreis),74
Köln,430
Krefeld,53
Leverkusen,33
Lippe (Kreis),107
Märkischer Kreis,31
Mettmann (Kreis),87
Minden-Lübbecke (Kreis),110
Mönchengladbach,46
Mülheim / Ruhr,21
Münster,130
Oberbergischer Kreis,50
Oberhausen,18
Olpe (Kreis),14
Paderborn (Kreis),59
Recklinghausen (Kreis),70
Remscheid,13
Rhein-Erft-Kreis,106
Rheinisch-Bergischer Kreis,60
Rhein-Kreis Neuss,50
Rhein-Sieg-Kreis,139
Siegen-Wittgenstein (Kreis),26
Soest (Kreis),47
Solingen,32
Steinfurt (Kreis),124
Unna (Kreis),25
Viersen (Kreis),59
Warendorf (Kreis),108
Wesel (Kreis),132
Wuppertal,50
Gesamt,4.743
