Kreis,Fälle
Aichach-Friedberg,12
Amberg Stadt,2
Amberg-Sulzbach,13
Ansbach,3
Aschaffenburg,16
Aschaffenburg Stadt,19
Augsburg,25
Augsburg Stadt,15
Bad Kissingen,7
Bad Tölz,11
Bamberg,9
Bamberg Stadt,2
Bayreuth,6
Berchtesgadener Land,9
Cham,23
Coburg,8
Dachau,15
Deggendorf,18
Dingolfing-Landau,14
Donau-Ries,9
Ebersberg,29
Eichstätt,2
Erding,18
Erlangen Stadt,6
Erlangen-Höchstadt,10
Forchheim,7
Freising,93
Freyung-Grafenau,7
Fürstenfeldbruck,22
Fürth,3
Fürth Stadt,9
Haßberge,8
Hof,6
Hof Stadt,4
Ingolstadt Stadt,2
Kaufbeuren Stadt,4
Kelheim,4
Kitzingen,5
Kronach,3
Kulmbach,1
Landsberg am Lech,10
Landshut,8
Landshut Stadt,4
Lichtenfels,3
Lindau (Bodensee),19
Main-Spessart,8
Memmingen Stadt,3
Miesbach,32
Miltenberg,5
Mühldorf a.Inn,1
München,75
München Stadt,204
Neu-Ulm,10
Neumarkt i.d.Opf.,11
Neustadt a.d. Aisch-Bad Windsheim,4
Neustadt a.d. Waldnaab,1
Nürnberg Stadt,28
Nürnberger Land,7
Oberallgäu,33
Ostallgäu,14
Passau,15
Passau Stadt,3
Pfaffenhofen a.d.Ilm,11
Regen,18
Regensburg,19
Regensburg Stadt,17
Rosenheim,35
Rosenheim Stadt,1
Roth,5
Rottal-Inn,14
Schwabach Stadt,5
Schwandorf,12
Schweinfurt,5
Starnberg,48
Straubing Stadt,6
Straubing-Bogen,3
Tirschenreuth,27
Traunstein,15
Unterallgäu,18
Weiden Stadt,7
Weilheim-Schongau,17
Weißenburg-Gunzenhausen,2
Wunsiedel i.Fichtelgebirge,3
Würzburg,47
Würzburg Stadt,40
Summe,1352
