Kreis,Fälle
Amberg Stadt,1
Amberg-Sulzbach,7
Aschaffenburg,3
Aschaffenburg Stadt,6
Augsburg,25
Augsburg Stadt,6
Bad Kissingen,3
Bad Tölz,10
Bamberg,7
Bamberg Stadt,1
Bayreuth,5
Cham,21
Coburg,3
Deggendorf,1
Dingolfing-Landau,13
Donau-Ries,3
Ebersberg,21
Eichstätt,2
Erding,11
Erlangen Stadt,6
Erlangen-Höchstadt,10
Forchheim,4
Freising,74
Fürstenfeldbruck,18
Fürth,3
Fürth Stadt,8
Haßberge,6
Hof,3
Hof Stadt,1
Ingolstadt Stadt,1
Kaufbeuren Stadt,1
Kelheim,3
Kitzingen,3
Kronach,2
Landsberg am Lech,4
Landshut,8
Landshut Stadt,4
Lindau (Bodensee),12
Main-Spessart,5
Memmingen Stadt,1
Miesbach,15
Miltenberg,4
München,38
München Stadt,187
Neu-Ulm,10
Neumarkt i.d.Opf.,5
Neustadt a.d. Aisch-Bad Windsheim,4
Neustadt a.d. Waldnaab,1
Nürnberg Stadt,24
Nürnberger Land,2
Oberallgäu,24
Ostallgäu,10
Passau,15
Passau Stadt,3
Pfaffenhofen a.d.Ilm,7
Regen,6
Regensburg,8
Regensburg Stadt,6
Rosenheim,17
Rosenheim Stadt,1
Roth,4
Rottal-Inn,14
Schwabach Stadt,1
Schwandorf,7
Schweinfurt,5
Starnberg,42
Straubing Stadt,4
Straubing-Bogen,2
Tirschenreuth,17
Traunstein,10
Weiden Stadt,6
Weilheim-Schongau,13
Weißenburg-Gunzenhausen,2
Würzburg,26
Würzburg Stadt,20
