Kreis,Fälle
Aachen & Städteregion Aachen,175
Bielefeld,28
Bochum,26
Bonn,55
Borken (Kreis),95
Bottrop,4
Coesfeld (Kreis),53
Dortmund,33
Duisburg,30
Düren (Kreis),47
Düsseldorf,63
Ennepe-Ruhr-Kreis,17
Essen,89
Euskirchen (Kreis),12
Gelsenkirchen,13
Gütersloh (Kreis),71
Hagen,6
Hamm,8
Heinsberg (Kreis),713
Herford (Kreis),26
Herne ,8
Hochsauerlandkreis (Kreis),37
Höxter,2
Kleve (Kreis),41
Köln,274
Krefeld,36
Leverkusen,21
Lippe (Kreis),56
Märkischer Kreis,20
Mettmann (Kreis),39
Minden-Lübbecke (Kreis),74
Mönchengladbach,36
Mülheim / Ruhr,12
Münster,90
Oberbergischer Kreis,27
Oberhausen,12
Olpe (Kreis),6
Paderborn (Kreis),42
Recklinghausen (Kreis),51
Remscheid,8
Rhein-Erft-Kreis,82
Rheinisch-Bergischer Kreis,52
Rhein-Kreis Neuss,44
Rhein-Sieg-Kreis,78
Siegen-Wittgenstein (Kreis),15
Soest (Kreis),15
Solingen,24
Steinfurt (Kreis),82
Unna (Kreis),19
Viersen (Kreis),40
Warendorf (Kreis),65
Wesel (Kreis),66
Wuppertal,22
Gesamt,3.060
