Kreis,Fälle
Amberg-Sulzbach,4
Aschaffenburg,2
Bad Kissingen,3
Bad Tölz,5
Bayreuth,5
Cham,19
Deggendorf,1
Dingolfing-Landau,7
Donau-Ries,3
Ebersberg,19
Eichstätt,1
Erding,10
Erlangen-Höchstadt,9
Forchheim,4
Freising,51
Fürstenfeldbruck,6
Fürth,2
Haßberge,4
Hof,1
Landsberg am Lech,3
Landshut,2
Lindau (Bodensee),8
Main-Spessart,1
Miesbach,1
Miltenberg,1
München,22
Neumarkt i.d.Opf.,2
Neustadt a.d. Aisch-Bad Windsheim,4
Neustadt a.d. Waldnaab,1
Neu-Ulm,8
Nürnberger Land,1
Oberallgäu,6
Ostallgäu,8
Passau,5
Pfaffenhofen a.d.Ilm,5
Regen,3
Regensburg,7
Rosenheim,3
Roth,3
Rottal-Inn,6
Schwandorf,7
Schweinfurt,2
Starnberg,16
Straubing-Bogen,1
Tirschenreuth,5
Traunstein,4
Weilheim-Schongau,8
Weißenburg-Gunzenhausen,2
Würzburg,16
Augsburg Stadt,5
Erlangen Stadt,5
Fürth Stadt,6
Hof Stadt,1
Ingolstadt Stadt,1
Kaufbeuren Stadt,1
Landshut Stadt,1
München Stadt,146
Nürnberg Stadt,19
Passau Stadt,1
Regensburg Stadt,2
Rosenheim Stadt,1
Schwabach Stadt,1
Straubing Stadt,2
Weiden Stadt,4
Würzburg Stadt,16
Bamberg,4
Augsburg,25
