Kreis,Fälle
Aachen & Städteregion Aachen,85
Bielefeld,17
Bochum,18
Bonn,23
Borken (Kreis),19
Bottrop,3
Coesfeld (Kreis),33
Dortmund,14
Duisburg,10
Düren (Kreis),15
Düsseldorf,16
Ennepe-Ruhr-Kreis,3
Essen,20
Euskirchen (Kreis),4
Gelsenkirchen,7
Gütersloh (Kreis),15
Hagen,3
Hamm,2
Heinsberg (Kreis),558
Herford (Kreis),9
Herne ,4
Hochsauerlandkreis (Kreis),14
Höxter,0
Kleve (Kreis),10
Köln,83
Krefeld,10
Leverkusen,5
Lippe (Kreis),36
Märkischer Kreis,13
Mettmann (Kreis),19
Minden-Lübbecke (Kreis),14
Mönchengladbach,23
Mülheim,9
Münster,23
Oberbergischer Kreis,14
Oberhausen,8
Olpe (Kreis),6
Paderborn (Kreis),18
Recklinghausen (Kreis),31
Remscheid,7
Rhein-Erft-Kreis,13
Rheinisch-Bergischer Kreis,28
Rhein-Kreis Neuss,15
Rhein-Sieg-Kreis,32
Siegen-Wittgenstein (Kreis),10
Soest (Kreis),9
Solingen,6
Steinfurt (Kreis),31
Unna (Kreis),13
Viersen (Kreis),16
Warendorf (Kreis),14
Wesel (Kreis),19
Wuppertal,6
Gesamt,1.433
