Kreis,Fälle
Aichach-Friedberg,18
Altötting,13
Amberg Stadt,2
Amberg-Sulzbach,18
Ansbach,9
Ansbach Stadt,3
Aschaffenburg,31
Aschaffenburg Stadt,20
Augsburg,54
Augsburg Stadt,37
Bad Kissingen,9
Bad Tölz,31
Bamberg,38
Bamberg Stadt,22
Bayreuth,13
Bayreuth Stadt,2
Berchtesgadener Land,8
Cham,40
Coburg,17
Dachau,45
Deggendorf,35
Dillingen a.d. Donau,6
Dingolfing-Landau,22
Donau-Ries,11
Ebersberg,42
Eichstätt,13
Erding,53
Erlangen Stadt,15
Erlangen-Höchstadt,18
Forchheim,18
Freising,164
Freyung-Grafenau,8
Fürstenfeldbruck,36
Fürth,7
Fürth Stadt,16
Garmisch-Partenkirchen,27
Günzburg,25
Haßberge,14
Hof,19
Hof Stadt,8
Ingolstadt Stadt,4
Kaufbeuren Stadt,5
Kelheim,16
Kitzingen,11
Kronach,4
Kulmbach,12
Landsberg am Lech,18
Landshut,57
Landshut Stadt,24
Lichtenfels,7
Lindau (Bodensee),35
Main-Spessart,12
Memmingen Stadt,9
Miesbach,58
Miltenberg,19
Mühldorf a.Inn,16
München,187
München Stadt,591
Neu-Ulm,29
Neuburg-Schrobenhausen,7
Neumarkt i.d.Opf.,18
Neustadt a.d. Aisch-Bad Windsheim,7
Neustadt a.d. Waldnaab,3
Nürnberg Stadt,63
Nürnberger Land,24
Oberallgäu,47
Ostallgäu,22
Passau,23
Passau Stadt,6
Pfaffenhofen a.d.Ilm,19
Regen,23
Regensburg,54
Regensburg Stadt,64
Rhön-Grabfeld,8
Rosenheim,66
Rosenheim Stadt,1
Roth,12
Rottal-Inn,51
Schwabach Stadt,8
Schwandorf,23
Schweinfurt,16
Schweinfurt Stadt,4
Starnberg,69
Straubing Stadt,19
Straubing-Bogen,20
Tirschenreuth,60
Traunstein,34
Unterallgäu,27
Weiden Stadt,7
Weilheim-Schongau,48
Weißenburg-Gunzenhausen,8
Wunsiedel i.Fichtelgebirge,16
Würzburg,74
Würzburg Stadt,55
Summe,3107
