Kreis,Fälle
Aachen & Städteregion Aachen,155
Bielefeld,27
Bochum,20
Bonn,37
Borken (Kreis),82
Bottrop,4
Coesfeld (Kreis),50
Dortmund,30
Duisburg,24
Düren (Kreis),24
Düsseldorf,36
Ennepe-Ruhr-Kreis,17
Essen,52
Euskirchen (Kreis),11
Gelsenkirchen,13
Gütersloh (Kreis),71
Hagen,6
Hamm,4
Heinsberg (Kreis),663
Herford (Kreis),26
Herne ,8
Hochsauerlandkreis (Kreis),31
Höxter,2
Kleve (Kreis),36
Köln,241
Krefeld,19
Leverkusen,20
Lippe (Kreis),56
Märkischer Kreis,17
Mettmann (Kreis),19
Minden-Lübbecke (Kreis),55
Mönchengladbach,36
Mülheim / Ruhr,9
Münster,57
Oberbergischer Kreis,27
Oberhausen,8
Olpe (Kreis),6
Paderborn (Kreis),37
Recklinghausen (Kreis),51
Remscheid,8
Rhein-Erft-Kreis,58
Rheinisch-Bergischer Kreis,30
Rhein-Kreis Neuss,15
Rhein-Sieg-Kreis,77
Siegen-Wittgenstein (Kreis),15
Soest (Kreis),15
Solingen,7
Steinfurt (Kreis),64
Unna (Kreis),19
Viersen (Kreis),16
Warendorf (Kreis),57
Wesel (Kreis),19
Wuppertal,6
Gesamt,2.493
