N,Gemeinde,Land,AGS,Fallzahl,Stand,Erstellt_um
1,Ahrweiler,7,07131000,3,2020-03-15 11:00:00,2020-03-15 20:30:06
2,Alb-Donau-Kreis,8,08425000,12,2020-03-15 15:00:00,2020-03-15 20:30:06
3,Altenkirchen (Westerwald),7,07132000,2,2020-03-15 11:00:00,2020-03-15 20:30:06
4,Alzey-Worms,7,07331000,8,2020-03-15 11:00:00,2020-03-15 20:30:06
5,Bad Dürkheim,7,07332000,15,2020-03-15 11:00:00,2020-03-15 20:30:06
6,Bad Kreuznach,7,07133000,13,2020-03-15 11:00:00,2020-03-15 20:30:06
7,Baden-Baden (Stadtkreis),8,08211000,5,2020-03-15 15:00:00,2020-03-15 20:30:06
8,Bernkastel-Wittlich,7,07231000,4,2020-03-15 11:00:00,2020-03-15 20:30:06
9,Biberach,8,08426000,5,2020-03-15 15:00:00,2020-03-15 20:30:06
10,Birkenfeld,7,07134000,0,2020-03-15 11:00:00,2020-03-15 20:30:06
11,Böblingen,8,08115000,9,2020-03-15 15:00:00,2020-03-15 20:30:06
12,Bodenseekreis,8,08435000,13,2020-03-15 15:00:00,2020-03-15 20:30:06
13,Breisgau-Hochschwarzwald,8,08315000,42,2020-03-15 15:00:00,2020-03-15 20:30:06
14,Calw,8,08235000,34,2020-03-15 15:00:00,2020-03-15 20:30:06
15,Cochem-Zell,7,07135000,6,2020-03-15 11:00:00,2020-03-15 20:30:06
16,Donnersbergkreis,7,07333000,2,2020-03-15 11:00:00,2020-03-15 20:30:06
17,Eifelkreis Bitburg-Prüm,7,07232000,12,2020-03-15 11:00:00,2020-03-15 20:30:06
18,Emmendingen,8,08316000,35,2020-03-15 15:00:00,2020-03-15 20:30:06
19,Enzkreis,8,08236000,3,2020-03-15 15:00:00,2020-03-15 20:30:06
20,Esslingen,8,08116000,111,2020-03-15 15:00:00,2020-03-15 20:30:06
21,Frankenthal (Pfalz) (kreisfreie Stadt),7,07311000,1,2020-03-15 11:00:00,2020-03-15 20:30:06
22,Freiburg im Breisgau (Stadtkreis),8,08311000,43,2020-03-15 15:00:00,2020-03-15 20:30:06
23,Freudenstadt,8,08237000,7,2020-03-15 15:00:00,2020-03-15 20:30:06
24,Germersheim,7,07334000,4,2020-03-15 11:00:00,2020-03-15 20:30:06
25,Göppingen,8,08117000,16,2020-03-15 15:00:00,2020-03-15 20:30:06
26,Heidelberg (Stadtkreis),8,08221000,3,2020-03-15 15:00:00,2020-03-15 20:30:06
27,Heidenheim,8,08135000,21,2020-03-15 15:00:00,2020-03-15 20:30:06
28,Heilbronn,8,08125000,47,2020-03-15 15:00:00,2020-03-15 20:30:06
29,Heilbronn (Stadtkreis),8,08121000,4,2020-03-15 15:00:00,2020-03-15 20:30:06
30,Hohenlohekreis,8,08126000,29,2020-03-15 15:00:00,2020-03-15 20:30:06
31,Kaiserslautern,7,07335000,3,2020-03-15 11:00:00,2020-03-15 20:30:06
32,Kaiserslautern (kreisfreie Stadt),7,07312000,6,2020-03-15 11:00:00,2020-03-15 20:30:06
33,Karlsruhe,8,08215000,29,2020-03-15 15:00:00,2020-03-15 20:30:06
34,Karlsruhe (Stadtkreis),8,08212000,14,2020-03-15 15:00:00,2020-03-15 20:30:06
35,Koblenz (kreisfreie Stadt),7,07111000,8,2020-03-15 11:00:00,2020-03-15 20:30:06
36,Konstanz,8,08335000,20,2020-03-15 15:00:00,2020-03-15 20:30:06
37,Kusel,7,07336000,13,2020-03-15 11:00:00,2020-03-15 20:30:06
38,Landau in der Pfalz (kreisfreie Stadt),7,07313000,0,2020-03-15 11:00:00,2020-03-15 20:30:06
39,Lörrach,8,08336000,10,2020-03-15 15:00:00,2020-03-15 20:30:06
40,Ludwigsburg,8,08118000,38,2020-03-15 15:00:00,2020-03-15 20:30:06
41,Ludwigshafen am Rhein (kreisfreie Stadt),7,07314000,1,2020-03-15 11:00:00,2020-03-15 20:30:06
