N,Gemeinde,Land,AGS,Fallzahl,Stand,Erstellt_um
42,Main-Tauber-Kreis,8,08128000,31,2020-03-15 15:00:00,2020-03-15 20:30:06
43,Mainz-Bingen,7,07339000,17,2020-03-15 11:00:00,2020-03-15 20:30:06
44,Mainz (kreisfreie Stadt),7,07315000,17,2020-03-15 11:00:00,2020-03-15 20:30:06
45,Mannheim (Stadtkreis),8,08222000,27,2020-03-15 15:00:00,2020-03-15 20:30:06
46,Mayen-Koblenz,7,07137000,13,2020-03-15 11:00:00,2020-03-15 20:30:06
47,Neckar-Odenwald-Kreis,8,08225000,10,2020-03-15 15:00:00,2020-03-15 20:30:06
48,Neustadt an der Weinstraße (kreisfreie Stadt),7,07316000,1,2020-03-15 11:00:00,2020-03-15 20:30:06
49,Neuwied,7,07138000,10,2020-03-15 11:00:00,2020-03-15 20:30:06
50,Ortenaukreis,8,08317000,25,2020-03-15 15:00:00,2020-03-15 20:30:06
51,Ostalbkreis,8,08136000,31,2020-03-15 15:00:00,2020-03-15 20:30:06
52,Pforzheim (Stadtkreis),8,08231000,4,2020-03-15 15:00:00,2020-03-15 20:30:06
53,Pirmasens (kreisfreie Stadt),7,07317000,0,2020-03-15 11:00:00,2020-03-15 20:30:06
54,Rastatt,8,08216000,26,2020-03-15 15:00:00,2020-03-15 20:30:06
55,Ravensburg,8,08436000,8,2020-03-15 15:00:00,2020-03-15 20:30:06
56,Rems-Murr-Kreis,8,08119000,23,2020-03-15 15:00:00,2020-03-15 20:30:06
57,Reutlingen,8,08415000,19,2020-03-15 15:00:00,2020-03-15 20:30:06
58,Rhein-Hunsrück-Kreis,7,07140000,14,2020-03-15 11:00:00,2020-03-15 20:30:06
59,Rhein-Lahn-Kreis,7,07141000,6,2020-03-15 11:00:00,2020-03-15 20:30:06
60,Rhein-Neckar-Kreis,8,08226000,38,2020-03-15 15:00:00,2020-03-15 20:30:06
61,Rhein-Pfalz-Kreis,7,07338000,1,2020-03-15 11:00:00,2020-03-15 20:30:06
62,Rottweil,8,08325000,3,2020-03-15 15:00:00,2020-03-15 20:30:06
63,Schwäbisch Hall,8,08127000,21,2020-03-15 15:00:00,2020-03-15 20:30:06
64,Schwarzwald-Baar-Kreis,8,08326000,6,2020-03-15 15:00:00,2020-03-15 20:30:06
65,Sigmaringen,8,08437000,12,2020-03-15 15:00:00,2020-03-15 20:30:06
66,Speyer (kreisfreie Stadt),7,07318000,2,2020-03-15 11:00:00,2020-03-15 20:30:06
67,Stuttgart (Stadtkreis),8,08111000,60,2020-03-15 15:00:00,2020-03-15 20:30:06
68,Südliche Weinstraße,7,07337000,1,2020-03-15 11:00:00,2020-03-15 20:30:06
69,Südwestpfalz,7,07340000,0,2020-03-15 11:00:00,2020-03-15 20:30:06
70,Trier-Saarburg,7,07235000,0,2020-03-15 11:00:00,2020-03-15 20:30:06
71,Trier (kreisfreie Stadt),7,07211000,3,2020-03-15 11:00:00,2020-03-15 20:30:06
72,Tübingen,8,08416000,41,2020-03-15 15:00:00,2020-03-15 20:30:06
73,Tuttlingen,8,08327000,5,2020-03-15 15:00:00,2020-03-15 20:30:06
74,Ulm (Stadtkreis),8,08421000,12,2020-03-15 15:00:00,2020-03-15 20:30:06
75,Vulkaneifel,7,07233000,3,2020-03-15 11:00:00,2020-03-15 20:30:06
76,Waldshut,8,08337000,4,2020-03-15 15:00:00,2020-03-15 20:30:06
77,Westerwaldkreis,7,07143000,11,2020-03-15 11:00:00,2020-03-15 20:30:06
78,Worms (kreisfreie Stadt),7,07319000,0,2020-03-15 11:00:00,2020-03-15 20:30:06
79,Zollernalbkreis,8,08417000,21,2020-03-15 15:00:00,2020-03-15 20:30:06
80,Zweibrücken (kreisfreie Stadt),7,07320000,0,2020-03-15 11:00:00,2020-03-15 20:30:06
